Home Team,Home Team Record,Visitor Team,Visitor Team Record,Final Score,Winner,H/V Win,Game Time,Winning Pitcher,Visiting Pitcher,Winning Pitcher (Team),Losing Pitcher (Team),Game Time,Attendance,Field Condition,Temperature,Wind Direction,Cloud Coverage,Precipitation,HP Umpire,1B Umpire,2B Umpire,3B Umpire,LF Umpire,RF Umpire
Arizona Diamondbacks, 1-0,San Diego Padres, 0-1, 2-4,Arizona Diamondbacks,H,6:40 p.m.,Joe Mantiply,Robert Suarez,ARI,SDN,3:18,"35,508",Unknown,93° F,6mph from Left to Right, Sunny,Larry Vanover, Dan Bellino, Sean Barber, Junior Valentine,N/A,N/A
""
Inning,1,2,3,4,5,6,7,8,9,R,H,E
San Diego Padres,0,0,1,1,0,0,0,0,0,2,4,0
Arizona Diamondbacks,0,0,0,0,0,0,0,0,4,4,3,0
""
San Diego Padres's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Austin Nola,4,0,1,1,0,0,4,.250,.250,.250,.500,11,8,0.042, 1.14,0.109,-0.067%, 0.03%, 1.15, 0.3,6,0,-
Manny Machado,3,0,0,0,1,0,4,.000,.250,.000,.250,17,7,-0.048, 0.96,0.014,-0.062%,-0.03%, 0.98, -0.6,0,0,-
Jake Cronenworth,2,0,0,0,2,0,4,.000,.500,.000,.500,27,14,0.017, 0.89,0.044,-0.027%, 0.01%, 0.91, 0.3,3,2,-
Luke Voit,2,0,0,1,2,0,4,.000,.500,.000,.500,17,7,0.068, 1.35,0.130,-0.062%, 0.04%, 1.37, 0.3,-,-,GDP
Wil Myers,4,0,0,0,0,2,4,.000,.000,.000,.000,14,11,-0.131, 1.14,0.000,-0.131%,-0.08%, 1.16, -1.5,1,0,GDP
Eric Hosmer,4,0,1,0,0,0,4,.250,.250,.500,.750,13,11,-0.023, 0.56,0.023,-0.046%,-0.01%, 0.57, -0.5,6,2,2B
Jurickson Profar,3,0,1,0,1,1,4,.333,.500,.333,.833,18,11,-0.014, 0.64,0.032,-0.046%,-0.01%, 0.65, 0.0,3,0,-
Jose Azocar,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Ha-Seong Kim,3,2,0,0,1,1,4,.000,.250,.000,.250,26,20,0.014, 0.84,0.059,-0.046%, 0.01%, 0.85, -0.1,0,4,SB
Trent Grisham,4,0,1,0,0,1,4,.250,.250,.250,.500,22,13,-0.033, 0.84,0.027,-0.060%,-0.02%, 0.85, -0.5,3,0,-
Yu Darvish,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-
Tim Hill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Pierce Johnson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-
Robert Suarez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Craig Stammen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,29,2,4,2,7,5,36,.138,.306,.172,.478,165,102,-0.108, 0.93,0.438,-0.547%,-0.07%, 0.94, -2.4,24,8,-
""
""
Arizona Diamondbacks's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Daulton Varsho,4,0,0,0,0,1,4,.000,.000,.000,.000,17,12,-0.133, 1.34,0.000,-0.133%,-0.08%, 1.33, -1.0,3,0,-
Ketel Marte,4,0,0,0,0,2,4,.000,.000,.000,.000,13,9,-0.094, 0.92,0.000,-0.094%,-0.06%, 0.91, -0.7,3,3,-
David Peralta,2,0,0,0,2,1,4,.000,.500,.000,.500,19,9,-0.013, 0.68,0.032,-0.045%,-0.01%, 0.67, -0.1,4,0,-
Christian Walker,3,1,0,0,1,0,4,.000,.250,.000,.250,14,5,0.353, 2.76,0.428,-0.076%, 0.21%, 2.73, 0.9,8,0,-
Pavin Smith,2,0,1,0,2,0,4,.500,.750,.500,1.250,19,6,0.202, 1.59,0.225,-0.023%, 0.12%, 1.57, 0.9,1,0,-
Jake McCarthy,0,1,0,0,0,0,0,-,-,-,-,-,-,0.000,-,0.000,0.000%,0%,-, 0.0,-,-,-
Carson Kelly,3,1,0,0,0,0,4,.000,.250,.000,.250,18,10,-0.114, 2.29,0.062,-0.176%,-0.07%, 2.27, -0.8,5,0,"HBP,GDP"
Seth Beer,4,1,2,3,0,1,4,.500,.500,1.250,1.750,9,7,0.260, 1.73,0.302,-0.042%, 0.15%, 1.71, 1.3,-,-,HR
Drew Ellis,2,0,0,0,0,0,2,.000,.000,.000,.000,13,8,-0.049, 0.97,0.000,-0.049%,-0.03%, 0.96, -0.4,2,2,-
Cooper Hummel,0,0,0,0,1,0,1,-,1.000,-,-,5,1,0.036, 1.34,0.036,0.000%, 0.02%, 1.33, 0.2,-,-,-
Sergio Alcantara,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Geraldo Perdomo,2,0,0,0,1,1,3,.000,.333,.000,.333,16,8,-0.056, 1.39,0.031,-0.087%,-0.03%, 1.37, -0.3,1,4,-
Madison Bumgarner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Luke Weaver,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Sean Poppen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Oliver Perez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Noe Ramirez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Joe Mantiply,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,26,4,3,3,7,6,34,.115,.324,.231,.554,143,75,0.392, 1.62,1.116,-0.725%, 0.23%, 1.60, 0.1,27,9,-
""
""
San Diego Padres's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Yu Darvish, 6 ,0,0,0,4,3,0,0.00,22,92,51,25,10,16,6,9,1,0,71,-,-,0.355, 0.87, 0.22%, 0.88, 2.9
Tim Hill, 0.2,2,0,0,0,0,0,0.00,3,10,6,4,1,1,2,1,1,0,-,0,0,0.042, 1.60, 0.03%, 1.62, 0.3
Pierce Johnson, 1.1,0,0,0,1,3,0,0.00,5,24,13,7,2,4,1,0,0,0,-,1,0,0.124, 1.53, 0.08%, 1.55, 0.7
Robert Suarez, 0 ,0,3,3,2,0,0,inf,3,15,4,2,0,2,0,0,0,0,-,0,0,-0.410, 3.81,-0.25%, 3.87, -1.8
Craig Stammen, 0 ,1,1,1,0,0,1,inf,1,2,1,1,0,0,0,1,0,0,-,3,3,-0.502, 5.71,-0.31%, 5.79, -2.2
Team Totals, 8 ,3,4,4,7,6,1, 4.50,34,143,75,39,13,23,9,11,2,0,71,4,3,-0.391, 1.62,-0.24%, 1.64, -0.1
""
""
Arizona Diamondbacks's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Madison Bumgarner, 3 ,1,1,1,4,2,0,3.00,14,68,37,24,4,9,2,6,1,0,51,-,-,0.029, 1.33, 0.02%, 1.32, 0.5
Luke Weaver, 0.2,3,1,1,0,0,0,13.50,5,23,18,12,0,6,2,3,3,0,-,0,0,-0.110, 1.08,-0.07%, 1.07, -1.0
Sean Poppen, 1.1,0,0,0,1,0,0,0.00,4,20,12,7,1,4,2,1,0,0,-,2,0,0.076, 0.87, 0.04%, 0.86, 1.0
Oliver Perez, 1.1,0,0,0,0,1,0,0.00,4,17,13,6,0,7,1,2,0,0,-,0,0,0.051, 0.51, 0.03%, 0.50, 0.7
Noe Ramirez, 1.2,0,0,0,1,1,0,0.00,5,19,11,4,5,2,1,2,1,0,-,0,0,0.045, 0.44, 0.03%, 0.44, 0.7
Joe Mantiply, 1 ,0,0,0,1,1,0,0.00,4,18,11,5,0,6,1,1,0,0,-,0,0,0.017, 0.29, 0.01%, 0.29, 0.5
Team Totals, 9 ,4,2,2,7,5,0, 2.00,36,165,102,58,10,34,9,15,5,0,51,2,0,0.108, 0.93, 0.06%, 0.92, 2.4
""
""
