Home Team,Home Team Record,Visitor Team,Visitor Team Record,Final Score,Winner,H/V Win,Game Time,Winning Pitcher,Visiting Pitcher,Winning Pitcher (Team),Losing Pitcher (Team),Game Time,Attendance,Field Condition,Temperature,Wind Direction,Cloud Coverage,Precipitation,HP Umpire,1B Umpire,2B Umpire,3B Umpire,LF Umpire,RF Umpire
Chicago Cubs, 1-0,Milwaukee Brewers, 0-1, 4-5,Chicago Cubs,H,1:20 p.m.,Mychal Givens,Aaron Ashby,CHN,MIL,3:18,"35,112",Unknown,44° F,14mph out to Centerfield, Cloudy,Ted Barrett, Lance Barksdale, Nic Lentz, Nestor Ceja,N/A,N/A
""
Inning,1,2,3,4,5,6,7,8,9,R,H,E
Milwaukee Brewers,0,0,0,1,0,0,2,1,0,4,10,0
Chicago Cubs,0,0,0,0,3,0,2,0,X,5,8,0
""
Milwaukee Brewers's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Kolten Wong,5,1,1,0,0,1,5,.200,.200,.200,.400,17,13,-0.153, 1.93,0.037,-0.190%,-0.09%, 1.91, -0.8,2,3,-
Willy Adames,5,0,2,1,0,2,5,.400,.400,.600,1.000,14,10,0.154, 1.70,0.279,-0.125%, 0.09%, 1.68, 0.2,2,3,"2B,GDP"
Christian Yelich,3,0,0,1,1,1,5,.000,.200,.000,.200,18,10,-0.127, 1.80,0.013,-0.140%,-0.07%, 1.77, -0.7,1,0,SF
Andrew McCutchen,5,1,2,0,0,0,5,.400,.400,.600,1.000,12,8,-0.060, 1.58,0.106,-0.166%,-0.03%, 1.56, 0.2,-,-,2B
Rowdy Tellez,4,1,2,0,0,2,4,.500,.500,.500,1.000,14,10,0.036, 1.43,0.120,-0.085%, 0.02%, 1.41, -0.0,7,0,-
Hunter Renfroe,4,0,1,0,0,1,4,.250,.250,.250,.500,19,14,-0.101, 1.87,0.043,-0.144%,-0.06%, 1.84, -0.7,2,0,-
Omar Narvaez,0,0,0,0,1,0,2,-,1.000,-,-,7,2,0.082, 1.78,0.082,0.000%, 0.05%, 1.75, 0.8,3,2,HBP
Tyrone Taylor,1,0,0,0,0,0,1,.000,.000,.000,.000,3,2,-0.070, 1.64,0.000,-0.070%,-0.04%, 1.62, -0.5,-,-,GDP
Victor Caratini,1,0,1,0,0,0,1,1.000,1.000,2.000,3.000,3,2,0.141, 1.97,0.141,0.000%, 0.08%, 1.94, 0.9,3,0,2B
Lorenzo Cain,3,1,1,2,0,1,4,.333,.250,.667,.917,26,16,-0.010, 2.34,0.104,-0.114%,-0.01%, 2.31, 0.1,4,0,"2B,SF"
Jace Peterson,1,0,0,0,1,0,2,.000,.500,.000,.500,8,4,-0.009, 1.31,0.051,-0.060%,-0.01%, 1.29, -0.1,0,1,SB
Mike Brosseau,1,0,0,0,1,1,2,.000,.500,.000,.500,12,5,-0.015, 2.48,0.067,-0.082%,-0.01%, 2.44, 0.0,0,0,-
Corbin Burnes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-
Aaron Ashby,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Jake Cousins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,33,4,10,4,4,9,40,.303,.375,.424,.799,153,96,-0.132, 1.80,1.043,-1.176%,-0.08%, 1.77, -0.5,24,10,-
""
""
Chicago Cubs's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Rafael Ortega,2,0,0,0,1,1,3,.000,.333,.000,.333,15,6,-0.015, 0.70,0.035,-0.050%,-0.01%, 0.71, -0.2,-,-,CS
Jackson Frazier,1,1,1,0,0,0,1,1.000,1.000,2.000,3.000,3,1,0.074, 1.15,0.074,0.000%, 0.04%, 1.17, 0.4,-,-,2B
Nick Madrigal,3,0,0,0,1,1,4,.000,.250,.000,.250,16,10,-0.087, 1.08,0.008,-0.095%,-0.05%, 1.09, -0.7,3,4,-
Willson Contreras,3,1,0,0,0,1,4,.000,.250,.000,.250,13,7,-0.058, 1.39,0.015,-0.073%,-0.03%, 1.42, -0.6,9,0,HBP
Ian Happ,4,0,3,2,0,0,4,.750,.750,1.250,2.000,21,11,0.356, 1.36,0.377,-0.021%, 0.22%, 1.38, 2.7,2,0,2·2B
Frank Schwindel,4,0,0,0,0,0,4,.000,.000,.000,.000,18,9,-0.117, 0.80,0.000,-0.117%,-0.07%, 0.81, -1.7,6,2,GDP
Seiya Suzuki,2,1,1,0,2,1,4,.500,.750,.500,1.250,19,11,0.068, 0.86,0.082,-0.014%, 0.04%, 0.87, 0.5,1,0,-
Jason Heyward,4,1,2,0,0,0,4,.500,.500,.500,1.000,16,10,0.102, 1.28,0.150,-0.049%, 0.06%, 1.30, 0.7,3,0,-
Patrick Wisdom,3,0,0,1,0,2,4,.000,.000,.000,.000,15,11,-0.121, 1.39,0.000,-0.121%,-0.07%, 1.41, -1.4,1,2,SF
Nico Hoerner,3,1,1,2,0,1,3,.333,.333,1.333,1.667,15,11,0.168, 1.35,0.232,-0.064%, 0.10%, 1.37, 1.3,1,1,HR
Kyle Hendricks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-
Daniel Norris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Chris Martin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Rowan Wick,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Mychal Givens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
David Robertson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
Team Totals,29,5,8,5,4,7,35,.276,.371,.483,.854,151,87,0.370, 1.13,0.973,-0.604%, 0.22%, 1.15, 1.0,27,9,-
""
""
Milwaukee Brewers's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Corbin Burnes, 5 ,4,3,3,3,4,1,5.40,21,83,48,22,11,15,3,11,3,0,48,-,-,-0.151, 1.14,-0.09%, 1.12, -0.5
Aaron Ashby, 1.2,3,1,1,1,1,0,5.40,8,41,25,16,4,5,4,2,1,0,-,0,0,0.044, 0.99, 0.03%, 0.97, 0.6
Jake Cousins, 1.1,1,1,1,0,2,0,6.75,6,27,15,5,2,8,1,2,0,0,-,1,1,-0.262, 1.28,-0.15%, 1.26, -1.1
Team Totals, 8 ,8,5,5,4,7,1, 5.62,35,151,88,43,17,28,8,15,4,0,48,1,1,-0.369, 1.13,-0.22%, 1.11, -1.0
""
""
Chicago Cubs's Pitching Statistics
,IP,H,R,ER,BB,SO,HR,ERA,BF,PIT,STR,CTCT,STS,STL,GB,FB,LD,UNK,GSC,IR,IS,WPA,aLI,cWPA,acLI,RE24
Kyle Hendricks, 5.1,5,1,1,3,7,0,1.69,24,83,51,20,17,14,5,8,6,0,58,-,-,0.127, 1.33, 0.08%, 1.35, 1.5
Daniel Norris, 1 ,1,2,2,1,0,0,18.00,4,21,12,7,3,2,2,1,1,0,-,1,0,-0.027, 2.10,-0.02%, 2.12, -0.2
Chris Martin, 0.2,1,0,0,0,0,0,0.00,3,10,7,5,0,2,2,1,0,0,-,2,2,-0.134, 2.70,-0.08%, 2.73, -0.8
Rowan Wick, 0.2,2,1,1,0,0,0,13.50,4,19,13,10,0,3,0,4,2,0,-,0,0,-0.079, 2.32,-0.05%, 2.35, -0.8
Mychal Givens, 0.1,0,0,0,0,1,0,0.00,1,6,3,0,1,2,0,0,0,0,-,1,0,0.082, 2.88, 0.05%, 2.92, 0.3
David Robertson, 1 ,1,0,0,0,1,0,0.00,4,14,10,4,2,4,2,1,0,0,-,0,0,0.162, 2.92, 0.10%, 2.96, 0.5
Team Totals, 9 ,10,4,4,4,9,0, 4.00,40,153,96,46,23,27,11,15,9,0,58,4,2,0.131, 1.80, 0.08%, 1.82, 0.5
""
""
