Home Team,Home Team Record,Visitor Team,Visitor Team Record,Final Score,Winner,H/V Win,Game Time,Winning Pitcher,Visiting Pitcher,Winning Pitcher (Team),Losing Pitcher (Team),Game Time,Attendance,Field Condition,Temperature,Wind Direction,Cloud Coverage,Precipitation,HP Umpire,1B Umpire,2B Umpire,3B Umpire,LF Umpire,RF Umpire
Atlanta Braves, 0-1,Cincinnati Reds, 1-0, 6-3,Cincinnati Reds,V,8:08 p.m.,Tyler Mahle,Max Fried,CIN,ATL,3:01,"40,545",Unknown,63° F,15mph from Right to Left, Cloudy,Jerry Layne, Hunter Wendelstedt, Chad Whitson, Adam Hamari,N/A,N/A
""
Inning,1,2,3,4,5,6,7,8,9,R,H,E
Cincinnati Reds,0,1,2,0,0,3,0,0,0,6,10,1
Atlanta Braves,0,0,1,0,0,0,0,2,0,3,4,0
""
Cincinnati Reds's Batting Statistics
,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,PIT,STR,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details
Jonathan India,5,1,2,0,0,1,5,.400,.400,.400,.800,20,14,-0.007, 0.51,0.037,-0.044%,-0.00%, 0.50, -0.1,2,3,-
Aristides Aquino,5,1,1,0,0,4,5,.200,.200,.200,.400,24,17,0.012, 0.59,0.052,-0.040%, 0.01%, 0.57, -0.1,2,0,-
Tommy Pham,3,0,0,0,1,1,4,.000,.250,.000,.250,16,8,0.040, 0.69,0.066,-0.026%, 0.02%, 0.67, 0.3,1,0,-
Joey Votto,4,0,1,1,0,1,4,.250,.250,.250,.500,13,7,0.034, 0.80,0.069,-0.035%, 0.02%, 0.78, 0.5,5,1,-
Tyler Stephenson,2,1,0,1,0,1,4,.000,.250,.000,.250,10,6,-0.009, 0.70,0.026,-0.035%,-0.01%, 0.68, -0.5,13,1,"HBP,SF"
Nick Senzel,4,0,1,0,0,1,4,.250,.250,.250,.500,14,10,-0.028, 0.73,0.038,-0.066%,-0.02%, 0.71, -0.9,2,0,GDP
Mike Moustakas,4,1,1,0,0,2,4,.250,.250,.250,.500,16,11,-0.056, 0.78,0.009,-0.066%,-0.03%, 0.75, -0.8,-,-,-
Kyle Farmer,4,1,2,1,0,1,4,.500,.500,.500,1.000,11,8,0.106, 0.73,0.120,-0.014%, 0.06%, 0.71, 0.9,1,2,-
Brandon Drury,4,1,2,3,0,1,4,.500,.500,1.250,1.750,18,13,0.138, 0.82,0.181,-0.043%, 0.08%, 0.80, 2.1,0,0,HR
Tyler Mahle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,-
Luis Cessa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-
